protein_id	ensg	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	cartilage	caudate	cerebellum	cerebral cortex	cervix	choroid plexus	colon	dorsal raphe	duodenum	endometrium	endometrium 1	endometrium 2	epididymis	esophagus	eye	fallopian tube	gallbladder	hair	heart muscle	hippocampus	hypothalamus	kidney	lactating breast	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	pituitary gland	placenta	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	sole of foot	spleen	stomach 1	stomach 2	testis	thymus	thyroid gland	tonsil	urinary bladder	vagina
ENSP00000332371	ENSG00000114270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSP00000332373	ENSG00000064607	0	1	2	1	0	2	0	3	3	3	2	0	2	0	2	0	1	2	2	1	0	2	2	0	3	3	0	3	0	0	1	2	2	1	1	2	0	0	2	2	2	0	1	1	2	0	0	1	1	0	0	0	0	2	2	3	0	2	2	3	1
ENSP00000332413	ENSG00000127325	0	1	1	0	1	1	0	1	1	2	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	2	0	1	1	1	1	1	1	1	2	0	1	1	1	0	1	1	2	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1
ENSP00000332488	ENSG00000185294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSP00000332549	ENSG00000183454	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000332592	ENSG00000144451	2	3	2	3	3	3	0	2	3	3	2	0	3	0	3	0	3	2	3	3	0	3	3	0	3	2	0	3	0	2	3	2	2	2	3	2	0	0	3	2	2	0	3	3	1	2	2	2	1	1	1	0	2	2	2	3	0	3	2	2	2
ENSP00000332628	ENSG00000170004	2	2	0	0	1	2	0	2	0	3	2	0	3	0	0	0	1	3	2	2	0	3	3	0	0	2	0	1	0	0	2	1	2	0	2	1	0	0	2	2	3	0	3	0	1	3	0	1	1	3	2	0	0	2	0	3	0	2	2	3	2
ENSP00000332681	ENSG00000109771	0	0	0	0	0	1	0	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1
ENSP00000332771	ENSG00000186510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSP00000333125	ENSG00000184634	3	3	3	3	3	3	0	3	3	3	3	0	3	0	3	0	3	2	3	3	0	3	3	0	3	3	0	3	0	1	3	3	3	3	3	3	3	0	3	3	3	0	3	3	3	3	3	3	3	3	2	0	2	3	3	3	0	3	3	3	3
ENSP00000333142	ENSG00000184381	0	1	2	3	2	3	0	2	1	1	2	0	2	0	3	0	3	2	2	3	0	2	2	0	1	1	0	1	0	0	2	1	0	2	1	3	2	0	3	2	2	0	2	2	0	2	3	3	0	0	0	0	2	2	2	2	0	2	3	3	3
